instant,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
130,2011-01-06,1.0,0.0,1.0,15.0,False,4.0,Clear,0.28,0.2727,0.36,0.0,8.0,54.0,62.0
131,2011-01-06,1.0,0.0,1.0,16.0,False,4.0,Clear,0.26,0.2576,0.38,0.1642,12.0,74.0,86.0
132,2011-01-06,1.0,0.0,1.0,17.0,False,4.0,Clear,0.22,0.2273,0.51,0.1642,9.0,163.0,172.0
133,2011-01-06,1.0,0.0,1.0,18.0,False,4.0,Clear,0.22,0.2273,0.51,0.1343,5.0,158.0,163.0
134,2011-01-06,1.0,0.0,1.0,19.0,False,4.0,Clear,0.22,0.2576,0.55,0.0896,3.0,109.0,112.0
135,2011-01-06,1.0,0.0,1.0,20.0,False,4.0,Clear,0.2,0.2121,0.51,0.1642,3.0,66.0,69.0
136,2011-01-06,1.0,0.0,1.0,21.0,False,4.0,Mist,0.22,0.2121,0.55,0.2239,0.0,48.0,48.0
137,2011-01-06,1.0,0.0,1.0,22.0,False,4.0,Mist,0.22,0.2121,0.51,0.2836,1.0,51.0,52.0
138,2011-01-06,1.0,0.0,1.0,23.0,False,4.0,Mist,0.2,0.197,0.59,0.194,4.0,19.0,23.0
139,2011-01-07,1.0,0.0,1.0,0.0,False,5.0,Mist,0.2,0.197,0.64,0.194,4.0,13.0,17.0
140,2011-01-07,1.0,0.0,1.0,1.0,False,5.0,Mist,0.2,0.197,0.69,0.2239,2.0,5.0,7.0
141,2011-01-07,1.0,0.0,1.0,2.0,False,5.0,Mist,0.2,0.197,0.69,0.2239,0.0,1.0,1.0
142,2011-01-07,1.0,0.0,1.0,4.0,False,5.0,Mist,0.2,0.2121,0.69,0.1343,0.0,1.0,1.0
143,2011-01-07,1.0,0.0,1.0,5.0,False,5.0,Light Snow,0.22,0.2727,0.55,0.0,0.0,5.0,5.0
144,2011-01-07,1.0,0.0,1.0,6.0,False,5.0,Mist,0.2,0.2576,0.69,0.0,8.0,26.0,34.0
145,2011-01-07,1.0,0.0,1.0,7.0,False,5.0,Clear,0.2,0.2121,0.69,0.1343,8.0,76.0,84.0
146,2011-01-07,1.0,0.0,1.0,8.0,False,5.0,Clear,0.2,0.197,0.51,0.2537,20.0,190.0,210.0
147,2011-01-07,1.0,0.0,1.0,9.0,False,5.0,Clear,0.2,0.1818,0.47,0.2985,9.0,125.0,134.0
148,2011-01-07,1.0,0.0,1.0,10.0,False,5.0,Clear,0.22,0.197,0.37,0.3284,16.0,47.0,63.0
149,2011-01-07,1.0,0.0,1.0,11.0,False,5.0,Mist,0.2,0.197,0.4,0.2239,19.0,48.0,67.0
150,2011-01-07,1.0,0.0,1.0,12.0,False,5.0,Mist,0.2,0.197,0.37,0.2537,9.0,50.0,59.0
151,2011-01-07,1.0,0.0,1.0,13.0,False,5.0,Mist,0.2,0.1818,0.37,0.2836,9.0,64.0,73.0
152,2011-01-07,1.0,0.0,1.0,14.0,False,5.0,Mist,0.2,0.197,0.4,0.2537,7.0,43.0,50.0
153,2011-01-07,1.0,0.0,1.0,15.0,False,5.0,Mist,0.2,0.2121,0.37,0.1642,9.0,63.0,72.0
154,2011-01-07,1.0,0.0,1.0,16.0,False,5.0,Mist,0.2,0.2121,0.37,0.1642,5.0,82.0,87.0
155,2011-01-07,1.0,0.0,1.0,17.0,False,5.0,Mist,0.2,0.2576,0.37,0.0,9.0,178.0,187.0
156,2011-01-07,1.0,0.0,1.0,18.0,False,5.0,Clear,0.2,0.2273,0.4,0.0896,7.0,116.0,123.0
157,2011-01-07,1.0,0.0,1.0,19.0,False,5.0,Clear,0.16,0.197,0.55,0.0896,3.0,92.0,95.0
158,2011-01-07,1.0,0.0,1.0,20.0,False,5.0,Clear,0.18,0.2121,0.47,0.1045,1.0,50.0,51.0
159,2011-01-07,1.0,0.0,1.0,21.0,False,5.0,Clear,0.18,0.197,0.47,0.1343,0.0,39.0,39.0
160,2011-01-07,1.0,0.0,1.0,22.0,False,5.0,Mist,0.18,0.197,0.43,0.1642,2.0,34.0,36.0
161,2011-01-07,1.0,0.0,1.0,23.0,False,5.0,Mist,0.18,0.197,0.51,0.1642,1.0,14.0,15.0
162,2011-01-08,1.0,0.0,1.0,0.0,False,6.0,Mist,0.18,0.197,0.51,0.1642,1.0,24.0,25.0
163,2011-01-08,1.0,0.0,1.0,1.0,False,6.0,Mist,0.18,0.2121,0.55,0.0896,1.0,15.0,16.0
164,2011-01-08,1.0,0.0,1.0,2.0,False,6.0,Mist,0.18,0.2424,0.55,0.0,3.0,13.0,16.0
165,2011-01-08,1.0,0.0,1.0,3.0,False,6.0,Light Snow,0.18,0.197,0.55,0.1642,0.0,7.0,7.0
166,2011-01-08,1.0,0.0,1.0,4.0,False,6.0,Light Snow,0.18,0.197,0.55,0.1642,0.0,1.0,1.0
167,2011-01-08,1.0,0.0,1.0,5.0,False,6.0,Mist,0.16,0.1667,0.74,0.1642,0.0,5.0,5.0
168,2011-01-08,1.0,0.0,1.0,6.0,False,6.0,Mist,0.16,0.1667,0.74,0.1642,0.0,2.0,2.0
169,2011-01-08,1.0,0.0,1.0,7.0,False,6.0,Mist,0.16,0.1818,0.74,0.1045,1.0,8.0,9.0
170,2011-01-08,1.0,0.0,1.0,8.0,False,6.0,Light Snow,0.16,0.1818,0.93,0.1045,0.0,15.0,15.0
171,2011-01-08,1.0,0.0,1.0,9.0,False,6.0,Light Snow,0.16,0.1818,0.93,0.1045,0.0,20.0,20.0
172,2011-01-08,1.0,0.0,1.0,10.0,False,6.0,Mist,0.18,0.197,0.8,0.1642,5.0,56.0,61.0
173,2011-01-08,1.0,0.0,1.0,11.0,False,6.0,Mist,0.2,0.1818,0.69,0.3881,2.0,60.0,62.0
174,2011-01-08,1.0,0.0,1.0,12.0,False,6.0,Mist,0.2,0.1818,0.59,0.3582,8.0,90.0,98.0
175,2011-01-08,1.0,0.0,1.0,13.0,False,6.0,Clear,0.2,0.1818,0.44,0.3284,7.0,95.0,102.0
176,2011-01-08,1.0,0.0,1.0,14.0,False,6.0,Clear,0.2,0.1667,0.32,0.4925,12.0,83.0,95.0
177,2011-01-08,1.0,0.0,1.0,15.0,False,6.0,Clear,0.2,0.1667,0.32,0.4478,5.0,69.0,74.0
178,2011-01-08,1.0,0.0,1.0,16.0,False,6.0,Clear,0.18,0.1364,0.29,0.4478,8.0,68.0,76.0
179,2011-01-08,1.0,0.0,1.0,17.0,False,6.0,Clear,0.16,0.1212,0.37,0.5522,5.0,64.0,69.0
180,2011-01-08,1.0,0.0,1.0,18.0,False,6.0,Clear,0.14,0.1212,0.39,0.2985,3.0,52.0,55.0
181,2011-01-08,1.0,0.0,1.0,19.0,False,6.0,Clear,0.14,0.1212,0.36,0.2537,4.0,26.0,30.0
182,2011-01-08,1.0,0.0,1.0,20.0,False,6.0,Clear,0.12,0.1212,0.36,0.2537,0.0,28.0,28.0
183,2011-01-08,1.0,0.0,1.0,21.0,False,6.0,Clear,0.12,0.1061,0.39,0.3582,2.0,35.0,37.0
184,2011-01-08,1.0,0.0,1.0,22.0,False,6.0,Clear,0.12,0.1061,0.36,0.3881,1.0,33.0,34.0
185,2011-01-08,1.0,0.0,1.0,23.0,False,6.0,Clear,0.1,0.0606,0.39,0.4478,0.0,22.0,22.0
186,2011-01-09,1.0,0.0,1.0,0.0,False,0.0,Clear,0.1,0.0758,0.42,0.3881,1.0,24.0,25.0
187,2011-01-09,1.0,0.0,1.0,1.0,False,0.0,Clear,0.1,0.0606,0.42,0.4627,0.0,12.0,12.0
188,2011-01-09,1.0,0.0,1.0,2.0,False,0.0,Clear,0.1,0.0606,0.46,0.4627,0.0,11.0,11.0
189,2011-01-09,1.0,0.0,1.0,3.0,False,0.0,Clear,0.1,0.0758,0.46,0.4179,0.0,4.0,4.0
190,2011-01-09,1.0,0.0,1.0,4.0,False,0.0,Clear,0.08,0.0909,0.53,0.194,0.0,1.0,1.0
191,2011-01-09,1.0,0.0,1.0,5.0,False,0.0,Clear,0.08,0.0909,0.53,0.194,0.0,1.0,1.0
192,2011-01-09,1.0,0.0,1.0,6.0,False,0.0,Clear,0.1,0.0909,0.49,0.2836,0.0,1.0,1.0
193,2011-01-09,1.0,0.0,1.0,7.0,False,0.0,Clear,0.08,0.0909,0.53,0.194,1.0,5.0,6.0
194,2011-01-09,1.0,0.0,1.0,8.0,False,0.0,Clear,0.1,0.0909,0.49,0.2836,0.0,10.0,10.0
195,2011-01-09,1.0,0.0,1.0,9.0,False,0.0,Clear,0.12,0.0758,0.46,0.5224,0.0,19.0,19.0
196,2011-01-09,1.0,0.0,1.0,10.0,False,0.0,Clear,0.14,0.1061,0.43,0.3881,0.0,49.0,49.0
197,2011-01-09,1.0,0.0,1.0,11.0,False,0.0,Clear,0.16,0.1212,0.4,0.5224,2.0,47.0,49.0
198,2011-01-09,1.0,0.0,1.0,12.0,False,0.0,Clear,0.18,0.1364,0.37,0.4478,4.0,79.0,83.0
199,2011-01-09,1.0,0.0,1.0,13.0,False,0.0,Clear,0.2,0.1667,0.34,0.4478,6.0,69.0,75.0
200,2011-01-09,1.0,0.0,1.0,14.0,False,0.0,Clear,0.22,0.1818,0.32,0.4627,8.0,64.0,72.0
201,2011-01-09,1.0,0.0,1.0,15.0,False,0.0,Clear,0.22,0.197,0.35,0.3582,5.0,77.0,82.0
202,2011-01-09,1.0,0.0,1.0,16.0,False,0.0,Clear,0.2,0.1667,0.34,0.4478,13.0,79.0,92.0
203,2011-01-09,1.0,0.0,1.0,17.0,False,0.0,Clear,0.18,0.1515,0.37,0.3881,3.0,59.0,62.0
204,2011-01-09,1.0,0.0,1.0,18.0,False,0.0,Clear,0.16,0.1364,0.4,0.3284,4.0,44.0,48.0
205,2011-01-09,1.0,0.0,1.0,19.0,False,0.0,Clear,0.16,0.1364,0.43,0.3284,1.0,40.0,41.0
206,2011-01-09,1.0,0.0,1.0,20.0,False,0.0,Clear,0.14,0.1212,0.46,0.2537,0.0,38.0,38.0
207,2011-01-09,1.0,0.0,1.0,21.0,False,0.0,Clear,0.14,0.1061,0.46,0.4179,1.0,19.0,20.0
208,2011-01-09,1.0,0.0,1.0,22.0,False,0.0,Clear,0.14,0.1212,0.46,0.2985,5.0,10.0,15.0
209,2011-01-09,1.0,0.0,1.0,23.0,False,0.0,Clear,0.12,0.1364,0.5,0.194,0.0,6.0,6.0
210,2011-01-10,1.0,0.0,1.0,0.0,False,1.0,Clear,0.12,0.1212,0.5,0.2836,2.0,3.0,5.0
211,2011-01-10,1.0,0.0,1.0,1.0,False,1.0,Clear,0.12,0.1212,0.5,0.2836,1.0,0.0,1.0
212,2011-01-10,1.0,0.0,1.0,2.0,False,1.0,Clear,0.12,0.1212,0.5,0.2239,0.0,3.0,3.0
213,2011-01-10,1.0,0.0,1.0,3.0,False,1.0,Clear,0.12,0.1212,0.5,0.2239,0.0,1.0,1.0
214,2011-01-10,1.0,0.0,1.0,4.0,False,1.0,Clear,0.1,0.1212,0.54,0.1343,1.0,2.0,3.0
