instant,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp
244,2011-01-11,1,0,1,12,False,2,2,0.2
245,2011-01-11,1,0,1,13,False,2,2,0.2
246,2011-01-11,1,0,1,14,False,2,2,0.2
247,2011-01-11,1,0,1,15,False,2,2,0.16
248,2011-01-11,1,0,1,16,False,2,2,0.16
249,2011-01-11,1,0,1,17,False,2,2,0.16
250,2011-01-11,1,0,1,18,False,2,3,0.16
251,2011-01-11,1,0,1,19,False,2,3,0.16
252,2011-01-11,1,0,1,20,False,2,3,0.16
253,2011-01-11,1,0,1,21,False,2,3,0.16
254,2011-01-11,1,0,1,22,False,2,3,0.16
255,2011-01-11,1,0,1,23,False,2,3,0.16
256,2011-01-12,1,0,1,0,False,3,2,0.16
257,2011-01-12,1,0,1,1,False,3,2,0.16
258,2011-01-12,1,0,1,2,False,3,1,0.14
259,2011-01-12,1,0,1,5,False,3,1,0.14
260,2011-01-12,1,0,1,6,False,3,1,0.12
261,2011-01-12,1,0,1,7,False,3,1,0.14
262,2011-01-12,1,0,1,8,False,3,1,0.16
263,2011-01-12,1,0,1,9,False,3,1,0.16
264,2011-01-12,1,0,1,10,False,3,1,0.18
265,2011-01-12,1,0,1,11,False,3,1,0.2
266,2011-01-12,1,0,1,12,False,3,1,0.2
267,2011-01-12,1,0,1,13,False,3,1,0.22
268,2011-01-12,1,0,1,14,False,3,1,0.2
269,2011-01-12,1,0,1,15,False,3,1,0.2
270,2011-01-12,1,0,1,16,False,3,1,0.22
271,2011-01-12,1,0,1,17,False,3,1,0.2
272,2011-01-12,1,0,1,18,False,3,1,0.2
273,2011-01-12,1,0,1,19,False,3,1,0.18
274,2011-01-12,1,0,1,20,False,3,1,0.16
275,2011-01-12,1,0,1,21,False,3,1,0.16
276,2011-01-12,1,0,1,22,False,3,1,0.16
277,2011-01-12,1,0,1,23,False,3,1,0.14
278,2011-01-13,1,0,1,0,False,4,1,0.14
279,2011-01-13,1,0,1,1,False,4,1,0.14
280,2011-01-13,1,0,1,2,False,4,1,0.14
281,2011-01-13,1,0,1,3,False,4,1,0.14
282,2011-01-13,1,0,1,4,False,4,1,0.14
283,2011-01-13,1,0,1,5,False,4,1,0.14
284,2011-01-13,1,0,1,6,False,4,1,0.12
285,2011-01-13,1,0,1,7,False,4,1,0.12
286,2011-01-13,1,0,1,8,False,4,1,0.14
287,2011-01-13,1,0,1,9,False,4,1,0.14
288,2011-01-13,1,0,1,10,False,4,2,0.16
289,2011-01-13,1,0,1,11,False,4,2,0.2
290,2011-01-13,1,0,1,12,False,4,1,0.2
291,2011-01-13,1,0,1,13,False,4,1,0.22
292,2011-01-13,1,0,1,14,False,4,1,0.22
293,2011-01-13,1,0,1,15,False,4,1,0.24
294,2011-01-13,1,0,1,16,False,4,1,0.24
295,2011-01-13,1,0,1,17,False,4,1,0.2
296,2011-01-13,1,0,1,18,False,4,1,0.2
297,2011-01-13,1,0,1,19,False,4,1,0.16
298,2011-01-13,1,0,1,20,False,4,1,0.16
299,2011-01-13,1,0,1,21,False,4,1,0.14
300,2011-01-13,1,0,1,22,False,4,1,0.14
301,2011-01-13,1,0,1,23,False,4,1,0.12
302,2011-01-14,1,0,1,0,False,5,1,0.12
303,2011-01-14,1,0,1,1,False,5,1,0.1
304,2011-01-14,1,0,1,2,False,5,1,0.1
305,2011-01-14,1,0,1,3,False,5,1,0.1
306,2011-01-14,1,0,1,5,False,5,1,0.1
307,2011-01-14,1,0,1,6,False,5,1,0.1
308,2011-01-14,1,0,1,7,False,5,1,0.1
309,2011-01-14,1,0,1,8,False,5,1,0.12
310,2011-01-14,1,0,1,9,False,5,1,0.14
311,2011-01-14,1,0,1,10,False,5,1,0.18
312,2011-01-14,1,0,1,11,False,5,1,0.18
313,2011-01-14,1,0,1,12,False,5,1,0.2
314,2011-01-14,1,0,1,13,False,5,1,0.22
315,2011-01-14,1,0,1,14,False,5,1,0.22
316,2011-01-14,1,0,1,15,False,5,1,0.24
317,2011-01-14,1,0,1,16,False,5,1,0.22
318,2011-01-14,1,0,1,17,False,5,1,0.22
319,2011-01-14,1,0,1,18,False,5,1,0.2
320,2011-01-14,1,0,1,19,False,5,1,0.16
321,2011-01-14,1,0,1,20,False,5,1,0.18
322,2011-01-14,1,0,1,21,False,5,1,0.16
323,2011-01-14,1,0,1,22,False,5,2,0.16
324,2011-01-14,1,0,1,23,False,5,2,0.18
325,2011-01-15,1,0,1,0,False,6,1,0.18
326,2011-01-15,1,0,1,1,False,6,2,0.16
327,2011-01-15,1,0,1,2,False,6,2,0.16
328,2011-01-15,1,0,1,3,False,6,2,0.16
329,2011-01-15,1,0,1,4,False,6,2,0.16
330,2011-01-15,1,0,1,5,False,6,1,0.16
331,2011-01-15,1,0,1,6,False,6,1,0.14
332,2011-01-15,1,0,1,7,False,6,1,0.14
333,2011-01-15,1,0,1,8,False,6,1,0.14
334,2011-01-15,1,0,1,9,False,6,1,0.16
335,2011-01-15,1,0,1,10,False,6,1,0.18
336,2011-01-15,1,0,1,11,False,6,1,0.2
337,2011-01-15,1,0,1,12,False,6,1,0.24
338,2011-01-15,1,0,1,13,False,6,1,0.28
339,2011-01-15,1,0,1,14,False,6,1,0.3
340,2011-01-15,1,0,1,15,False,6,2,0.32
341,2011-01-15,1,0,1,16,False,6,2,0.34
342,2011-01-15,1,0,1,17,False,6,2,0.32
343,2011-01-15,1,0,1,18,False,6,2,0.3
344,2011-01-15,1,0,1,19,False,6,2,0.32
345,2011-01-15,1,0,1,20,False,6,2,0.32
346,2011-01-15,1,0,1,21,False,6,2,0.32
347,2011-01-15,1,0,1,22,False,6,2,0.3
348,2011-01-15,1,0,1,23,False,6,1,0.3
349,2011-01-16,1,0,1,0,False,0,1,0.26
350,2011-01-16,1,0,1,1,False,0,1,0.26
351,2011-01-16,1,0,1,2,False,0,1,0.26
352,2011-01-16,1,0,1,3,False,0,1,0.22
353,2011-01-16,1,0,1,4,False,0,1,0.26
354,2011-01-16,1,0,1,5,False,0,2,0.26
355,2011-01-16,1,0,1,6,False,0,2,0.26
356,2011-01-16,1,0,1,7,False,0,2,0.24
357,2011-01-16,1,0,1,8,False,0,1,0.22
358,2011-01-16,1,0,1,9,False,0,1,0.22
359,2011-01-16,1,0,1,10,False,0,1,0.22
360,2011-01-16,1,0,1,11,False,0,1,0.24
361,2011-01-16,1,0,1,12,False,0,1,0.24
362,2011-01-16,1,0,1,13,False,0,1,0.26
363,2011-01-16,1,0,1,14,False,0,1,0.28
364,2011-01-16,1,0,1,15,False,0,1,0.26
365,2011-01-16,1,0,1,16,False,0,1,0.24
366,2011-01-16,1,0,1,17,False,0,1,0.22
367,2011-01-16,1,0,1,18,False,0,1,0.2
368,2011-01-16,1,0,1,19,False,0,1,0.18
369,2011-01-16,1,0,1,20,False,0,1,0.18
370,2011-01-16,1,0,1,21,False,0,1,0.18
371,2011-01-16,1,0,1,22,False,0,2,0.2
372,2011-01-16,1,0,1,23,False,0,2,0.2
373,2011-01-17,1,0,1,0,True,1,2,0.2
374,2011-01-17,1,0,1,1,True,1,2,0.2
375,2011-01-17,1,0,1,2,True,1,2,0.18
376,2011-01-17,1,0,1,3,True,1,2,0.18
377,2011-01-17,1,0,1,4,True,1,2,0.18
378,2011-01-17,1,0,1,5,True,1,2,0.18
379,2011-01-17,1,0,1,6,True,1,2,0.18
380,2011-01-17,1,0,1,7,True,1,2,0.16
381,2011-01-17,1,0,1,8,True,1,2,0.16
382,2011-01-17,1,0,1,9,True,1,2,0.16
383,2011-01-17,1,0,1,10,True,1,2,0.16
384,2011-01-17,1,0,1,11,True,1,2,0.16
385,2011-01-17,1,0,1,12,True,1,2,0.18
386,2011-01-17,1,0,1,13,True,1,2,0.18
387,2011-01-17,1,0,1,14,True,1,2,0.18
388,2011-01-17,1,0,1,15,True,1,2,0.2
389,2011-01-17,1,0,1,16,True,1,2,0.2
390,2011-01-17,1,0,1,17,True,1,1,0.2
391,2011-01-17,1,0,1,18,True,1,2,0.18
392,2011-01-17,1,0,1,19,True,1,3,0.18
393,2011-01-17,1,0,1,20,True,1,3,0.16
394,2011-01-17,1,0,1,21,True,1,3,0.16
395,2011-01-17,1,0,1,22,True,1,3,0.14
396,2011-01-17,1,0,1,23,True,1,3,0.16
397,2011-01-18,1,0,1,12,False,2,2,0.2
398,2011-01-18,1,0,1,13,False,2,2,0.2
399,2011-01-18,1,0,1,14,False,2,2,0.22
400,2011-01-18,1,0,1,15,False,2,2,0.22
401,2011-01-18,1,0,1,16,False,2,2,0.22
402,2011-01-18,1,0,1,17,False,2,2,0.22
403,2011-01-18,1,0,1,18,False,2,2,0.22
404,2011-01-18,1,0,1,19,False,2,2,0.22
405,2011-01-18,1,0,1,20,False,2,2,0.22
406,2011-01-18,1,0,1,21,False,2,2,0.22
407,2011-01-18,1,0,1,22,False,2,2,0.22
408,2011-01-18,1,0,1,23,False,2,2,0.22
409,2011-01-19,1,0,1,0,False,3,2,0.22
410,2011-01-19,1,0,1,1,False,3,3,0.22
411,2011-01-19,1,0,1,2,False,3,3,0.22
412,2011-01-19,1,0,1,4,False,3,3,0.22
413,2011-01-19,1,0,1,5,False,3,2,0.22
414,2011-01-19,1,0,1,6,False,3,2,0.22
415,2011-01-19,1,0,1,7,False,3,2,0.24
416,2011-01-19,1,0,1,8,False,3,2,0.24
417,2011-01-19,1,0,1,9,False,3,2,0.24
418,2011-01-19,1,0,1,10,False,3,2,0.26
419,2011-01-19,1,0,1,11,False,3,2,0.28
420,2011-01-19,1,0,1,12,False,3,2,0.3
421,2011-01-19,1,0,1,13,False,3,1,0.4
422,2011-01-19,1,0,1,14,False,3,1,0.4
423,2011-01-19,1,0,1,15,False,3,1,0.4
424,2011-01-19,1,0,1,16,False,3,1,0.38
425,2011-01-19,1,0,1,17,False,3,1,0.36
426,2011-01-19,1,0,1,18,False,3,1,0.34
427,2011-01-19,1,0,1,19,False,3,1,0.32
428,2011-01-19,1,0,1,20,False,3,1,0.32
429,2011-01-19,1,0,1,21,False,3,1,0.32
430,2011-01-19,1,0,1,22,False,3,1,0.3
431,2011-01-19,1,0,1,23,False,3,1,0.3
432,2011-01-20,1,0,1,0,False,4,1,0.26
433,2011-01-20,1,0,1,1,False,4,1,0.26
434,2011-01-20,1,0,1,2,False,4,1,0.26
435,2011-01-20,1,0,1,3,False,4,1,0.26
436,2011-01-20,1,0,1,4,False,4,1,0.26
437,2011-01-20,1,0,1,5,False,4,1,0.24
438,2011-01-20,1,0,1,6,False,4,1,0.22
439,2011-01-20,1,0,1,7,False,4,1,0.22
440,2011-01-20,1,0,1,8,False,4,1,0.22
441,2011-01-20,1,0,1,9,False,4,2,0.24
442,2011-01-20,1,0,1,10,False,4,1,0.26
443,2011-01-20,1,0,1,11,False,4,2,0.28
444,2011-01-20,1,0,1,12,False,4,2,0.3
445,2011-01-20,1,0,1,13,False,4,2,0.28
446,2011-01-20,1,0,1,14,False,4,2,0.3
447,2011-01-20,1,0,1,15,False,4,2,0.32
448,2011-01-20,1,0,1,16,False,4,2,0.3
449,2011-01-20,1,0,1,17,False,4,2,0.3
450,2011-01-20,1,0,1,18,False,4,2,0.26
451,2011-01-20,1,0,1,19,False,4,1,0.26
452,2011-01-20,1,0,1,20,False,4,2,0.26
453,2011-01-20,1,0,1,21,False,4,2,0.24
454,2011-01-20,1,0,1,22,False,4,2,0.24
455,2011-01-20,1,0,1,23,False,4,2,0.24
456,2011-01-21,1,0,1,0,False,5,2,0.24
457,2011-01-21,1,0,1,1,False,5,2,0.24
458,2011-01-21,1,0,1,2,False,5,3,0.24
459,2011-01-21,1,0,1,3,False,5,3,0.22
460,2011-01-21,1,0,1,4,False,5,2,0.22
461,2011-01-21,1,0,1,5,False,5,1,0.24
462,2011-01-21,1,0,1,6,False,5,1,0.22
463,2011-01-21,1,0,1,7,False,5,1,0.2
464,2011-01-21,1,0,1,8,False,5,1,0.2
465,2011-01-21,1,0,1,9,False,5,1,0.2
466,2011-01-21,1,0,1,10,False,5,1,0.2
467,2011-01-21,1,0,1,11,False,5,1,0.22
468,2011-01-21,1,0,1,12,False,5,1,0.22
469,2011-01-21,1,0,1,13,False,5,1,0.2
470,2011-01-21,1,0,1,14,False,5,1,0.2
471,2011-01-21,1,0,1,15,False,5,1,0.16
472,2011-01-21,1,0,1,16,False,5,1,0.16
473,2011-01-21,1,0,1,17,False,5,1,0.14
474,2011-01-21,1,0,1,18,False,5,1,0.12
475,2011-01-21,1,0,1,19,False,5,1,0.12
476,2011-01-21,1,0,1,20,False,5,1,0.1
477,2011-01-21,1,0,1,21,False,5,1,0.08
478,2011-01-21,1,0,1,22,False,5,1,0.06
479,2011-01-21,1,0,1,23,False,5,1,0.06
480,2011-01-22,1,0,1,0,False,6,1,0.04
481,2011-01-22,1,0,1,1,False,6,2,0.04
482,2011-01-22,1,0,1,2,False,6,2,0.04
483,2011-01-22,1,0,1,3,False,6,2,0.04
484,2011-01-22,1,0,1,4,False,6,2,0.02
485,2011-01-22,1,0,1,6,False,6,2,0.02
486,2011-01-22,1,0,1,7,False,6,1,0.02
487,2011-01-22,1,0,1,8,False,6,1,0.02
488,2011-01-22,1,0,1,9,False,6,1,0.04
489,2011-01-22,1,0,1,10,False,6,2,0.04
490,2011-01-22,1,0,1,11,False,6,2,0.06
491,2011-01-22,1,0,1,12,False,6,2,0.06
492,2011-01-22,1,0,1,13,False,6,1,0.08
493,2011-01-22,1,0,1,14,False,6,1,0.1
494,2011-01-22,1,0,1,15,False,6,1,0.12
495,2011-01-22,1,0,1,16,False,6,1,0.12
496,2011-01-22,1,0,1,17,False,6,1,0.12
497,2011-01-22,1,0,1,18,False,6,1,0.08
498,2011-01-22,1,0,1,19,False,6,1,0.08
499,2011-01-22,1,0,1,20,False,6,1,0.06
500,2011-01-22,1,0,1,21,False,6,1,0.06
501,2011-01-22,1,0,1,22,False,6,1,0.06
502,2011-01-22,1,0,1,23,False,6,1,0.04
503,2011-01-23,1,0,1,0,False,0,1,0.04
504,2011-01-23,1,0,1,1,False,0,1,0.04
505,2011-01-23,1,0,1,2,False,0,1,0.02
506,2011-01-23,1,0,1,3,False,0,1,0.02
507,2011-01-23,1,0,1,5,False,0,2,0.04
508,2011-01-23,1,0,1,6,False,0,2,0.04
509,2011-01-23,1,0,1,7,False,0,1,0.08
510,2011-01-23,1,0,1,8,False,0,1,0.06
511,2011-01-23,1,0,1,9,False,0,1,0.1
512,2011-01-23,1,0,1,10,False,0,1,0.14
513,2011-01-23,1,0,1,11,False,0,1,0.14
514,2011-01-23,1,0,1,12,False,0,1,0.16
515,2011-01-23,1,0,1,13,False,0,1,0.14
